employee_id,first_name,last_name,gender,region,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Awa,Diop,Féminin,Dakar,Pikine,2022-09-06,Service Clientèle,Technicien Support,Baccalauréat,2013846,Bon,Non,2000-10-05,2023-03-05
00-28728463,Awa,Thiam,Masculin,Kédougou,Saraya,2016-02-13,Service Clientèle,Spécialiste Support,Licence,1690477,Bon,Non,1978-12-18,2021-12-12
00-13999315,Awa,Sow,Masculin,Thiès,Thiès,2017-01-10,Opérations,Coordinateur Logistique,Licence,2089404,Bon,Non,1981-07-22,2018-01-27
00-85329037,Cheikh,Thiam,Féminin,Louga,Kébémer,2019-10-15,Ventes,Consultant Commercial,Doctorat,2249028,Bon,Non,2002-01-07,2022-02-08
00-47338124,Mamadou,Ndiaye,Masculin,Thiès,Mbour,2022-04-17,Opérations,Coordinateur Logistique,Licence,1691202,Satisfaisant,Non,1999-04-20,2022-11-05
00-30868105,Cheikh,Diouf,Féminin,Thiès,Tivaouane,2016-04-05,Marketing,Créateur de Contenu,Licence,1663212,Excellent,Non,1981-09-30,2019-09-20
00-58181396,Ousmane,Faye,Masculin,Dakar,Guédiawaye,2017-03-28,Ventes,Consultant Commercial,Master,2786586,Bon,Oui,1999-09-11,2017-11-13
00-71662963,Coumba,Ba,Masculin,Thiès,Thiès,2024-02-24,Opérations,Analyste des Opérations,Licence,1771199,À améliorer,Non,1997-05-18,2024-08-22
00-84093639,Mariama,Faye,Féminin,Dakar,Pikine,2023-10-14,Informatique,Administrateur Système,Master,2684242,Bon,Oui,1986-01-03,2024-12-27
00-35808537,Awa,Diop,Masculin,Dakar,Dakar,2022-02-09,Opérations,Spécialiste des Stocks,Licence,2070196,Bon,Oui,1987-02-26,2022-08-08
00-41244663,Awa,Gueye,Féminin,Dakar,Pikine,2017-09-20,Marketing,Créateur de Contenu,Baccalauréat,2002834,Excellent,Non,1979-04-28,2023-11-05
00-58966946,Fatou,Diouf,Féminin,Thiès,Mbour,2018-10-15,Service Clientèle,Technicien Support,Baccalauréat,2218527,Satisfaisant,Non,1981-04-02,2023-02-28
00-96977837,Awa,Faye,Masculin,Kaffrine,Malem Hodar,2021-12-13,Ventes,Consultant Commercial,Licence,2928401,Satisfaisant,Non,1982-07-12,2024-06-02
00-42857966,Fatou,Fall,Masculin,Louga,Louga,2018-07-31,Service Clientèle,Spécialiste Support,Baccalauréat,1638658,Satisfaisant,Non,2003-04-07,2019-01-27
00-84752529,Cheikh,Diouf,Masculin,Tambacounda,Tambacounda,2023-02-03,Finance,Analyste Financier,Licence,2880371,Bon,Non,1987-05-01,2023-08-02
00-14308421,Ousmane,Gueye,Masculin,Fatick,Fatick,2017-08-18,Marketing,Créateur de Contenu,Baccalauréat,1772767,À améliorer,Non,1977-11-04,2018-02-14
00-52235350,Cheikh,Fall,Masculin,Diourbel,Mbacké,2019-06-13,Opérations,Coordinateur Logistique,Licence,1684440,Bon,Non,1995-01-17,2019-12-10
00-29175900,Mariama,Ndiaye,Masculin,Ziguinchor,Bignona,2017-01-13,Service Clientèle,Responsable Service Clientèle,Licence,2741327,Bon,Non,1963-11-09,2017-07-12
00-45264581,Ibrahima,Gueye,Masculin,Kaolack,Guinguinéo,2023-01-12,Opérations,Coordinateur Logistique,Licence,1655171,Bon,Non,1972-03-17,2023-07-11
00-39436733,Fatou,Thiam,Féminin,Diourbel,Diourbel,2020-02-06,Ventes,Responsable des Ventes,Doctorat,3615713,Bon,Non,1988-10-06,2022-05-15
00-24716857,Fatou,Ndiaye,Masculin,Dakar,Guédiawaye,2023-03-26,Ventes,Spécialiste des Ventes,Doctorat,2407732,Bon,Non,1986-01-20,2023-09-22
00-18526544,Adama,Gueye,Masculin,Dakar,Pikine,2020-03-31,Ventes,Représentant Commercial,Licence,2120184,À améliorer,Non,1983-12-07,2020-09-27
00-43744231,Coumba,Diop,Féminin,Thiès,Mbour,2022-07-16,Finance,Analyste Financier,Licence,2545218,Bon,Non,1990-07-27,2023-01-12
00-82070937,Mariama,Diouf,Féminin,Kaolack,Nioro du Rip,2016-08-21,Service Clientèle,Spécialiste Support,Licence,1806958,À améliorer,Oui,1973-03-31,2022-08-09
00-70897765,Mamadou,Diallo,Masculin,Saint-Louis,Dagana,2024-01-11,Opérations,Coordinateur Logistique,Licence,2143101,Satisfaisant,Oui,1996-12-13,2024-07-09
00-24282218,Mariama,Thiam,Féminin,Louga,Linguère,2021-08-06,Informatique,Spécialiste Support Informatique,Baccalauréat,1979594,Bon,Non,2002-01-29,2022-02-02
00-31682744,Coumba,Thiam,Masculin,Fatick,Fatick,2024-03-18,Service Clientèle,Spécialiste Support,Baccalauréat,2073024,Excellent,Non,1983-03-06,2024-09-14
00-75579548,Mamadou,Ba,Féminin,Dakar,Dakar,2024-10-05,Opérations,Analyste des Opérations,Master,1974580,Satisfaisant,Oui,1971-09-28,2025-04-03
00-17774584,Cheikh,Faye,Féminin,Saint-Louis,Dagana,2024-09-09,Opérations,Analyste des Opérations,Master,2016058,Bon,Oui,1987-10-27,2025-03-08
00-75228535,Awa,Thiam,Masculin,Louga,Linguère,2022-09-30,Marketing,Créateur de Contenu,Licence,1592273,Bon,Non,2002-04-18,2024-01-02
00-73791320,Coumba,Ndiaye,Masculin,Fatick,Fatick,2017-07-31,Ventes,Spécialiste des Ventes,Licence,2446154,À améliorer,Non,1997-09-30,2018-01-27
00-38427073,Coumba,Sow,Masculin,Saint-Louis,Dagana,2022-06-12,Opérations,Analyste des Opérations,Master,1968392,Bon,Non,1989-03-21,2022-12-09
00-97225156,Ousmane,Fall,Féminin,Sédhiou,Sédhiou,2023-03-27,Opérations,Coordinateur Logistique,Licence,2139370,Satisfaisant,Oui,1983-03-06,2023-09-23
00-43273328,Cheikh,Ba,Féminin,Louga,Louga,2018-06-24,Opérations,Coordinateur Logistique,Licence,1863592,Bon,Oui,1994-04-30,2024-02-13
00-40885476,Ibrahima,Sow,Féminin,Ziguinchor,Bignona,2015-08-17,Ventes,Consultant Commercial,Master,2818739,Satisfaisant,Non,1980-06-13,2022-05-08
00-17901903,Cheikh,Ba,Masculin,Diourbel,Mbacké,2023-04-19,Informatique,Responsable Informatique,Master,3518725,Bon,Non,1987-10-25,2023-10-16
00-79008866,Cheikh,Diallo,Masculin,Dakar,Pikine,2022-11-11,Ventes,Spécialiste des Ventes,Doctorat,2174176,Satisfaisant,Non,1984-07-07,2023-05-10
00-27758595,Ibrahima,Faye,Féminin,Diourbel,Mbacké,2019-12-04,Ventes,Spécialiste des Ventes,Licence,2581834,Excellent,Non,1992-09-30,2022-12-31
00-64634663,Cheikh,Ba,Féminin,Dakar,Dakar,2016-01-03,Service Clientèle,Spécialiste Support,Baccalauréat,2184740,Bon,Non,1959-12-06,2022-08-21
00-66851760,Adama,Fall,Féminin,Saint-Louis,Podor,2023-10-22,Ventes,Représentant Commercial,Licence,1881591,Bon,Oui,1996-05-01,2024-04-19
00-97705310,Awa,Diop,Féminin,Dakar,Dakar,2019-11-09,Opérations,Spécialiste des Stocks,Baccalauréat,1880709,Bon,Non,1985-05-08,2022-02-07
00-24665841,Cheikh,Sow,Féminin,Thiès,Mbour,2017-03-04,Ventes,Représentant Commercial,Licence,1722668,Bon,Oui,1983-07-22,2017-08-31
00-66623995,Fatou,Diallo,Féminin,Thiès,Thiès,2019-09-29,Service Clientèle,Représentant Service Clientèle,Baccalauréat,1902934,Excellent,Oui,1977-02-27,2021-05-12
00-83863413,Awa,Diop,Masculin,Ziguinchor,Bignona,2022-06-14,Informatique,Développeur Logiciel,Master,2320068,Bon,Non,1986-07-27,2022-12-11
00-11980765,Awa,Sow,Masculin,Saint-Louis,Podor,2017-05-13,Opérations,Spécialiste des Stocks,Baccalauréat,2004527,Bon,Non,1999-09-29,2020-08-25
00-38688676,Adama,Diop,Masculin,Dakar,Guédiawaye,2017-04-18,Opérations,Spécialiste des Stocks,Baccalauréat,1818266,Satisfaisant,Non,2004-01-22,2023-12-11
00-45594951,Abdoulaye,Diallo,Féminin,Tambacounda,Goudiry,2019-03-02,Service Clientèle,Technicien Support,Baccalauréat,2023627,Excellent,Non,1974-07-27,2024-05-19
00-84593961,Abdoulaye,Ndiaye,Féminin,Thiès,Tivaouane,2017-03-25,Informatique,Spécialiste Support Informatique,Baccalauréat,1607486,Bon,Non,2000-06-02,2020-11-12
00-87736262,Coumba,Diop,Féminin,Tambacounda,Goudiry,2022-10-24,Ventes,Consultant Commercial,Licence,2521222,Satisfaisant,Non,1973-10-03,2023-04-22
00-88406989,Abdoulaye,Thiam,Masculin,Tambacounda,Tambacounda,2024-05-10,Finance,Analyste Financier,Master,2980254,À améliorer,Oui,1989-04-19,2024-11-06
00-17634247,Coumba,Ba,Féminin,Dakar,Pikine,2023-02-09,Ventes,Spécialiste des Ventes,Licence,2116369,Bon,Non,1994-08-05,2024-06-11
00-19121552,Cheikh,Gueye,Féminin,Ziguinchor,Bignona,2016-02-06,Ventes,Consultant Commercial,Licence,2417696,Excellent,Non,1997-03-15,2016-08-04
00-87701200,Ibrahima,Diop,Féminin,Thiès,Thiès,2021-05-28,Opérations,Coordinateur Logistique,Licence,1649529,Bon,Non,1978-07-30,2023-07-11
00-88339168,Ibrahima,Thiam,Féminin,Ziguinchor,Bignona,2018-02-07,Marketing,Spécialiste SEO,Baccalauréat,1603054,Satisfaisant,Oui,1979-10-08,2022-12-24
00-99889098,Ousmane,Sow,Masculin,Dakar,Dakar,2017-05-20,Ventes,Consultant Commercial,Master,3096418,Bon,Non,1982-12-09,2017-11-16
00-96637649,Mariama,Fall,Masculin,Dakar,Pikine,2018-11-26,Informatique,Spécialiste Support Informatique,Licence,1802288,À améliorer,Non,1985-09-03,2019-05-25
